zip,lat,long,county,state,n
19119,40.068142,-75.123024,philadelphia,PA,1
,,,,,
19121,39.983212,-75.174172,philadelphia,PA,1
,,,,,
19127,40.024761,-75.222473,philadelphia,PA,1
,,,,,
19128,40.049111,-75.178489,philadelphia,PA,1
,,,,,
19141,40.009611,-75.15032,philadelphia,PA,1
,,,,,
19143,39.957312,-75.187023,philadelphia,PA,1
,,,,,
19146,39.945112,-75.175822,philadelphia,PA,1
,,,,,
19147,39.936212,-75.155973,philadelphia,PA,1
,,,,,
19148,39.950362,-75.155371,philadelphia,PA,1
,,,,,
19301,40.040057,-75.488793,chester,PA,1
,,,,,
19335,40.031265,-75.722614,chester,PA,1
,,,,,
19355,40.02951,-75.713599,chester,PA,2
,,,,,
19380,39.980107,-75.610503,chester,PA,2
,,,,,
19401,40.149154,-75.356627,montgomery,PA,1
,,,,,
19406,40.179242,-75.388022,montgomery,PA,1
,,,,,
19422,40.15755,-75.279941,montgomery,PA,1
,,,,,
19425,40.103858,-75.639994,chester,PA,1
,,,,,
19426,40.236083,-75.430272,montgomery,PA,2
,,,,,
19428,40.082509,-75.304377,montgomery,PA,1
,,,,,
19460,40.128175,-75.541769,chester,PA,1
,,,,,
19462,40.137759,-75.352751,montgomery,PA,1
,,,,,
19520,40.156293,-75.786492,chester,PA,1
,,,,,
19522,40.326392,-75.808303,berks,PA,1
,,,,,
19539,40.432311,-75.796571,berks,PA,1
,,,,,
19565,40.337188,-75.951748,berks,PA,1
,,,,,
19720,39.592895,-75.651466,new castle,DE,1
,,,,,
19805,39.743107,-75.593447,new castle,DE,1
,,,,,
19808,39.735912,-75.664729,new castle,DE,1
,,,,,
19904,39.160542,-75.597381,kent,DE,1
,,,,,
19931,38.569091,-75.624087,sussex,DE,1
,,,,,
19963,38.72712,-75.322829,sussex,DE,1
,,,,,
19971,38.629763,-75.319975,sussex,DE,1
,,,,,
20002,38.908218,-76.982147,district of columbia,DC,2
,,,,,
20007,38.914561,-77.075649,district of columbia,DC,1
,,,,,
20008,38.93521,-77.060399,district of columbia,DC,3
,,,,,
20009,38.919261,-77.039798,district of columbia,DC,2
,,,,,
20010,38.932711,-77.030248,district of columbia,DC,1
,,,,,
20011,38.95261,-77.017898,district of columbia,DC,1
,,,,,
20015,38.96926,-77.070949,district of columbia,DC,2
,,,,,
20016,38.93826,-77.091149,district of columbia,DC,2
,,,,,
20110,38.749207,-77.487762,manassas city,VA,1
,,,,,
20112,38.770864,-77.449443,manassas park city,VA,1
,,,,,
20140,38.916291,-77.864841,fauquier,VA,1
,,,,,
20147,39.037339,-77.480542,loudoun,VA,2
,,,,,
20165,39.047157,-77.386647,loudoun,VA,2
,,,,,
20170,38.983887,-77.367457,fairfax,VA,1
,,,,,
